window_index,window_start_time,window_end_time,activity,source_file,AccelX_mean,AccelX_std,AccelX_min,AccelX_max,AccelY_mean,AccelY_std,AccelY_min,AccelY_max,AccelZ_mean,AccelZ_std,AccelZ_min,AccelZ_max,GyroX_mean,GyroX_std,GyroX_min,GyroX_max,GyroY_mean,GyroY_std,GyroY_min,GyroY_max,GyroZ_mean,GyroZ_std,GyroZ_min,GyroZ_max,accel_mag_mean,accel_mag_std,accel_mag_min,accel_mag_max,gyro_mag_mean,gyro_mag_std,gyro_mag_min,gyro_mag_max
20,44.8,47.78,cycling,cycling-gisela-01.csv,7.625755833333333,0.6247555322477362,6.540959,9.543288,4.574361746666667,0.5855611159680053,3.529053,6.186617,5.85640894,0.46063146223686213,4.865018,7.153875,-0.08102774666666666,0.12646287491287375,-0.34307,0.246211,0.003023426666666668,0.10304152764203674,-0.249542,0.238351,0.012851486666666665,0.13582700447813445,-0.322819,0.395564,10.675733246209052,0.5903942639403008,9.587245282739667,12.154825072369984,0.2079770920558724,0.09243763856649437,0.02421968127370796,0.45067552454287996
21,47.04,50.02,cycling,cycling-gisela-01.csv,7.8014264,0.6424899333935125,6.177041,9.543288,4.45643938,0.43225589428660843,3.471592,5.635951,5.722620906666667,0.5186536811536622,4.865018,7.153875,-0.060119293333333323,0.13983680622747582,-0.408887,0.292309,0.016057940000000003,0.12961208175728217,-0.514406,0.282051,-0.018432073333333326,0.15934361389387805,-0.37851,0.395564,10.672929192460893,0.6540018577939698,8.915958838034976,12.22898684223092,0.2308943734501833,0.11244433247822655,0.025962211269458538,0.5990726620486032
22,49.28,52.26,cycling,cycling-gisela-01.csv,7.701891426666666,0.4881273973998639,6.287174,8.892065,4.67009792,0.48355996823211794,3.524265,6.162675,5.663691599999999,0.5506173713511286,4.46758,7.062895,-0.09379656666666665,0.08914135631526791,-0.325484,0.115511,-0.016778233333333333,0.11957029561656284,-0.302568,0.275123,-0.024148613333333332,0.14201542962207953,-0.418479,0.287646,10.665229884988161,0.4842502033230885,9.701543332842924,11.970076943855874,0.20616543988937622,0.09782582074118604,0.05399221926351981,0.5289413006383601
23,51.52,54.5,cycling,cycling-gisela-01.csv,8.006497786666666,0.5423255922905549,6.804321,9.466674,4.516837093333333,0.7497369761004308,3.275268,6.440403,5.28173666,0.5317457301509915,4.261679,6.392519,-0.10881438,0.14211581066396378,-0.857343,0.184259,-0.01573727333333333,0.1530984494372993,-0.394764,0.32575,-0.02618083333333333,0.2000983707172855,-0.418479,0.401559,10.638889289746727,0.59630282963423,9.246814779013258,12.092016607501455,0.28149417902553114,0.1311872368030349,0.045003084938701705,0.9585578476909987
24,53.76,56.74,cycling,cycling-gisela-01.csv,8.1619613,0.8318791065797541,6.23929,10.821792,4.440031093333333,0.8675815146504628,2.695871,6.311116,5.0364746,0.694095573553556,2.964022,7.225701,-0.08052230000000002,0.1966661173193712,-0.857343,0.480565,0.007486706666666665,0.2276292811082542,-0.523332,0.596343,-0.021127833333333332,0.24696472647016932,-0.524665,0.729308,10.629728319549352,0.7955688651737892,8.805750137881098,12.908414947113299,0.36508972609431306,0.1586820602827116,0.07355177836735152,0.9585578476909987
25,56.0,58.98,cycling,cycling-gisela-01.csv,8.176837286666666,0.6841148916765794,6.727707,9.902418,4.301390840000001,0.7788946305326893,2.695871,5.904101,5.219774660000001,0.6139457070315673,3.940856,7.225701,-0.09657578,0.11817761999859196,-0.338807,0.197182,0.024121946666666668,0.16600193392607557,-0.425674,0.35293,-0.014355253333333326,0.19989858225690968,-0.481631,0.574227,10.657526948589071,0.6909539593944611,9.358831548420401,12.663966091026698,0.27335343135677476,0.12990288519270984,0.06259801924981333,0.6271760030677194
26,58.24,61.22,cycling,cycling-gisela-01.csv,8.088124126666665,0.619919622977133,6.646304,9.380483,4.2154230466666665,0.3668929010628458,3.490746,5.276821,5.505067753333333,0.40381346329368356,4.620809,6.607996,-0.10063846,0.11543581335938052,-0.314825,0.338807,0.024764979999999995,0.11256286599066732,-0.216368,0.350132,-0.006181926666666663,0.1069663115634137,-0.237285,0.328681,10.668253527159026,0.6030398433976788,9.373343290467654,11.89511379558653,0.2012331976938535,0.08787740235263254,0.019001159175166128,0.49746759553663394
27,60.48,63.46,cycling,cycling-gisela-01.csv,7.96905248,0.5482370545795522,6.646304,9.203311,4.1843621933333335,0.36488154894775915,3.476381,5.00867,5.792180506666667,0.34128726443305296,5.114015,6.593631,-0.08028162000000001,0.08705346637231397,-0.259268,0.330413,0.0293819,0.0953531869059271,-0.142291,0.333478,-0.016887519999999996,0.11164350583965733,-0.340273,0.28738,10.712763221559523,0.5923875287708258,9.373343290467654,12.067174736878306,0.1748963151714457,0.07835630469437031,0.034440059073700784,0.47727390593871777
28,62.72,65.7,cycling,cycling-gisela-01.csv,7.8689109733333344,0.5651954337064181,6.564901,9.423578,3.9991787466666664,0.3915536267936434,3.136404,4.965574,6.034154466666667,0.4056924428983392,4.855441,7.10599,-0.09654645333333334,0.08091468872284245,-0.264064,0.156547,-0.008642239999999995,0.12200863785381098,-0.311228,0.276988,-0.021148253333333335,0.11297455646396297,-0.25687,0.254605,10.70457867362749,0.6111894803672357,9.350231056123693,12.086280941570571,0.19675787921092044,0.07297969937743544,0.04196030582586357,0.3954201807836823
29,64.96,67.94,cycling,cycling-gisela-01.csv,8.066895486666665,0.5780390210224535,6.564901,9.26556,4.068036046666667,0.4524810860014569,3.131616,5.252879,5.625512086666666,0.48263499277534005,4.687847,7.10599,-0.08455122000000001,0.12141783159112833,-0.632315,0.145489,-0.010852126666666666,0.12836453806880344,-0.340539,0.276988,-0.04228488666666666,0.11155715019836464,-0.25687,0.254605,10.662342334645121,0.5969648441194043,9.350231056123693,12.086280941570571,0.20702679629692705,0.09929419386052075,0.0534566535147871,0.7235314327290833
